_id,nombre,categoria_id,precio,stock,proveedor_id
1,Leche entera,1,4500,120,1
2,Leche deslactosada,1,4800,80,1
3,Queso campesino,1,5200,60,1
4,Yogur natural,1,3500,100,1
5,Mantequilla,1,6000,50,1
6,Arroz 1Kg,2,3200,200,2
7,Fríjol bola roja,2,5400,150,2
8,Lenteja,2,4100,180,2
9,Maíz trillado,2,3700,130,2
10,Quinua,2,8900,90,2
11,Manzana roja,3,800,300,3
12,Banano,3,600,400,3
13,Uva verde,3,5200,150,3
14,Mango Tommy,3,2200,250,3
15,Pera,3,2500,200,3
16,Zanahoria,4,1300,300,3
17,Tomate chonto,4,1800,250,3
18,Cebolla cabezona,4,1500,280,3
19,Pimentón verde,4,2400,180,3
20,Lechuga crespa,4,1700,200,3
21,Detergente líquido,5,12500,50,4
22,Jabón en barra,5,3200,150,4
23,Shampoo,5,10500,70,4
24,Crema dental,5,5200,90,4
25,Papel higiénico x12,5,18500,60,4
26,Gaseosa cola 1.5L,6,4200,110,5
27,Jugo de naranja,6,3600,90,5
28,Cerveza lata,6,3500,200,5
29,Vino tinto,6,42000,30,5
30,Agua botella 600ml,6,1900,300,5
